nct_id,title,status,study_type,intervention_type,phase,locations,start_date,completion_date,enrollment,study_duration_days
NCT02489565,Telemedicine in Qualifying Care Transition Between Tertiary and Primary Health Care Among Stable Coronary Artery Disease Patients: a Randomized Non-inferiority Trial,UNKNOWN,INTERVENTIONAL,OTHER,['NA'],1,2014-05-01,2017-11-01,264.0,1280.0
NCT01712620,A Pilot Study of the Effect of Spironolactone Therapy on Exercise Capacity and Endothelial Dysfunction in Pulmonary Arterial Hypertension,RECRUITING,INTERVENTIONAL,DRUG,['PHASE2'],1,,,70.0,792.0
NCT02259634,Impact of Patient Navigators on Health Education and Quality of Life in Formerly Incarcerated Patients,TERMINATED,INTERVENTIONAL,BEHAVIORAL,['NA'],2,2014-06-01,2015-04-01,144.0,304.0
NCT00001857,"A Multicenter, Open-Label, Study to Determine the Safety of BG9588 (Anti-CD40L Antibody) Therapy Compared to Standard Treatment in Renal Allograft Transplantation",COMPLETED,INTERVENTIONAL,DRUG,['PHASE2'],1,1999-05-01,2000-04-01,50.0,336.0
NCT00380913,A Multicenter Trial Evaluating the Efficacy of Cesamet™ for the Symptomatic Treatment of Pain in Patients With Diabetic Peripheral Neuropathy,COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],4,2006-09-01,2007-10-01,23.0,395.0
NCT07278115,Effects on Remission of Type 2 Diabetes Mellitus Following Roux-en-Y Gastric Bypass Alone vs Roux-en-Y Gastric Bypass Combined With Truncal Vagotomy: A Triple-Blind Randomized Controlled Trial.,NOT_YET_RECRUITING,INTERVENTIONAL,PROCEDURE,['NA'],2,2025-12-01,2027-12-01,40.0,730.0
NCT07241897,"DPP4 Inhibitor on Post-stroke Cognitive Impairment in Ischemic Stroke Patients With Type 2 Diabetes Mellitus (DISC-DM): Multicentre, Double Blind, Randomised, Placebo Controlled Trial",NOT_YET_RECRUITING,INTERVENTIONAL,DRUG,['PHASE3'],1,,,312.0,792.0
NCT03728296,Clinical Study on the Safety and Efficacy of Autologous Induced Islet Body With Type 1 Diabetes,UNKNOWN,INTERVENTIONAL,BIOLOGICAL,['EARLY_PHASE1'],0,2019-01-01,2021-01-01,20.0,731.0
NCT00209170,Depression-Diabetes Mechanisms: Urban African Americans,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['PHASE4'],1,2004-05-01,2008-05-01,20.0,1461.0
NCT03899402,"Triple Therapy for Type 1 Diabetes With Insulin, Semaglutide, and Dapagliflozin",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,DRUG,"['PHASE2', 'PHASE3']",1,,,78.0,792.0
NCT03092960,The HOMBRE Trial: Comparing Two Innovative Approaches to Reduce Chronic Disease Risk Among Latino Men,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,,,424.0,792.0
NCT02571608,"ContinuAtioN of meTformin to Improve And KEep Peri-operative Glycemic Control: A Randomized, Double-Blind, Placebo-Controlled Pilot Study.",WITHDRAWN,INTERVENTIONAL,DRUG,['PHASE4'],0,,,0.0,792.0
NCT03367325,A New Clinical Decision Support Tool for Improving the Adequacy of Anticoagulant Therapy and Reduce Stroke Incidence in Non-valvular Atrial Fibrillation: a Randomized Clinical Trial in Primary Care,UNKNOWN,INTERVENTIONAL,DEVICE,['NA'],1,,,63001.0,792.0
NCT00805974,Study of the Relationship Between Sleep Quality and Daytime-Nighttime Variations of Blood Pressure and Plasma Glucose Type I,TERMINATED,INTERVENTIONAL,BIOLOGICAL,['NA'],1,2005-10-01,2007-12-01,23.0,791.0
NCT01055080,Pilot Study of Dietary Prevention of Type 1 Diabetes Associated Beta-cell Autoimmunity in Children at Genetic Risk,COMPLETED,INTERVENTIONAL,DIETARY_SUPPLEMENT,['NA'],0,2002-05-01,2009-12-01,987.0,2771.0
NCT00129259,Phase II Multiple-Dose Treatment of New Onset Type 1 Diabetes Mellitus With Anti-CD3 mAb,COMPLETED,INTERVENTIONAL,BIOLOGICAL,['PHASE2'],7,2005-09-01,2011-03-01,83.0,2007.0
NCT06191094,"A Randomized, Double-masked, Sham-controlled Study to Evaluate the Efficacy of Peri-operative Farcimab in Patients With Non-clearing Vitreous Hemorrhage Secondary to Proliferative Diabetic Retinopathy",ENROLLING_BY_INVITATION,INTERVENTIONAL,DRUG,['PHASE4'],1,,2027-01-01,100.0,792.0
NCT06802224,Norepinephrine vs Phenylephrine as the First-line Vasopressor to Prevent Postoperative Acute Kidney Injury After Major Non-cardiac Surgery,RECRUITING,INTERVENTIONAL,DRUG,['PHASE4'],8,,2028-07-01,18000.0,792.0
NCT00576732,"Risperidone in the Treatment of Children and Adolescents With Autistic Disorder: A Double-Blind, Placebo-Controlled Study of Efficacy and Safety, Followed by an Open-Label Extension Study of Safety",COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],20,2007-12-01,2010-03-01,96.0,821.0
NCT06906627,Implementation pRogram to Improve Screening and Management for CKD in Diabetes (IRIS-CKD),RECRUITING,INTERVENTIONAL,OTHER,['NA'],6,,,750.0,792.0
NCT04057677,Exercise Training as an Intervention to Improve Muscle Function and Recovery Following Bed Rest in Older Adults With Type 2 Diabetes,TERMINATED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,,,12.0,792.0
NCT04460573,Improving the Science of Adherence Reinforcement and Safe Mobility in People With Diabetic Foot Ulcers Using Smart Offloading,RECRUITING,INTERVENTIONAL,DEVICE,['PHASE2'],4,,,210.0,792.0
NCT04493879,Efficacy of Bioptron Light Therapy (BLT) on Post Chemotherapy Oral Mucositis,COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,,,30.0,792.0
NCT00097786,"A Multinational, Randomized, Double-blind, Placebo-controlled, Forced-titration, 2 x 2 Factorial Design Study of the Efficacy and Safety of Long-term Administration of Nateglinide and Valsartan in the Prevention of Diabetes and Cardiovascular Outcomes in Subjects With Impaired Glucose Tolerance (IGT)",COMPLETED,INTERVENTIONAL,DRUG,['PHASE3'],38,2002-01-01,2009-10-01,9306.0,2830.0
NCT05899166,Effect of Dietary Carbohydrate on Diabetes Control and Beta Cell Function in Children With Newly Diagnosed Diabetes,RECRUITING,INTERVENTIONAL,OTHER,['NA'],1,,,52.0,792.0
NCT03544645,Are Audiovisual Educational Materials Superior to Printed Educational Materials in Improving Insulin Awareness Among Saudi Type 2 Diabetic Patients in Primary Care Setting?,COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,,,126.0,792.0
NCT07065942,Effects of Lactulose on Gut Microbiota and Metabolism in Diabetic Constipated Patients,RECRUITING,INTERVENTIONAL,DRUG,['NA'],1,,,60.0,792.0
NCT00753363,"Exercise, Inflammation and Pro-thrombotic Modulators in the Elderly",COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,,,119.0,792.0
NCT06055452,Effects and Mechanism of SGLT2 Inhibitors in Pre-heart Failure Populations With Hypertension,RECRUITING,INTERVENTIONAL,DRUG,['PHASE4'],2,,,120.0,792.0
NCT01088451,Joint Application of Human Insulin and Rapid Insulin Analogue in Control of Postprandial Glycemia,UNKNOWN,INTERVENTIONAL,DRUG,['NA'],1,2009-12-01,2010-09-01,20.0,274.0
NCT05359432,Comparison of Empaglifozin and Vildagliptin in Efficacy and Safety in Type 2 Diabetes Mellitus,COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],1,,,120.0,792.0
NCT00607867,Metabolic Response to a LoBAG30 Diet in Diabetic Patients on Metformin,TERMINATED,INTERVENTIONAL,OTHER,['NA'],1,2008-04-01,2011-03-01,20.0,1064.0
NCT00826774,Practice-based Opportunities for Weight Reduction Trial at University of Pennsylvania,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['PHASE3'],0,2008-01-01,2011-06-01,390.0,1247.0
NCT05795582,Upstroke Time Measured by Photoplethysmography : Comparison With the Systolic Toe Pressure Index in a Population of Diabetic Arteriopaths,UNKNOWN,INTERVENTIONAL,DEVICE,['NA'],2,,,120.0,792.0
